Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
ltVPL,129,-0.460 ,-0.198 ,-0.023 ,-0.151 ,-0.105 ,-0.105 ,0.164 ,0.101 ,0.063 ,0.150 ,0.328 ,0.498 ,0.392 ,0.114 ,0.330 ,0.632 ,1.060 
rtVPL,130,-0.382 ,-0.220 ,-0.176 ,-0.247 ,-0.073 ,-0.233 ,0.204 ,-0.147 ,0.387 ,0.106 ,0.510 ,0.442 ,0.020 ,0.086 ,-0.332 ,0.547 ,0.886 
ltIL,131,-0.403 ,0.043 ,0.202 ,0.091 ,-0.079 ,0.175 ,0.188 ,0.100 ,0.247 ,0.377 ,0.544 ,0.573 ,0.459 ,0.335 ,0.280 ,0.619 ,1.021 
rtIL,132,-0.359 ,-0.003 ,-0.011 ,-0.067 ,-0.069 ,0.044 ,0.333 ,0.182 ,0.091 ,0.496 ,0.479 ,0.789 ,0.236 ,0.296 ,-0.032 ,0.693 ,1.121 
ltMDm,135,-0.389 ,0.221 ,0.314 ,0.168 ,0.092 ,0.213 ,0.683 ,0.588 ,0.611 ,0.740 ,0.795 ,1.383 ,0.985 ,1.236 ,0.812 ,1.249 ,2.122 
rtMDm,136,-0.380 ,0.199 ,0.196 ,0.159 ,0.132 ,0.202 ,0.744 ,0.543 ,0.519 ,0.837 ,0.823 ,1.414 ,0.811 ,1.141 ,0.587 ,1.435 ,2.225 
ltMDl,137,-0.387 ,0.223 ,0.184 ,0.027 ,0.023 ,0.249 ,0.493 ,0.407 ,0.685 ,0.805 ,0.486 ,0.933 ,0.680 ,0.762 ,0.548 ,1.062 ,1.740 
rtMDl,138,-0.344 ,0.046 ,0.054 ,0.019 ,0.023 ,-0.035 ,0.501 ,0.347 ,0.244 ,0.822 ,0.708 ,1.013 ,0.596 ,0.591 ,0.128 ,0.981 ,1.539 
ltLGN,139,-0.273 ,-0.209 ,-0.022 ,-0.011 ,0.272 ,-0.009 ,0.065 ,0.110 ,0.125 ,0.103 ,0.532 ,0.464 ,0.157 ,-0.010 ,-0.001 ,0.242 ,0.348 
rtLGN,140,-0.213 ,-0.168 ,-0.103 ,0.048 ,0.071 ,-0.144 ,0.190 ,0.138 ,0.271 ,0.113 ,0.510 ,0.302 ,-0.041 ,0.260 ,0.186 ,0.216 ,0.605 
ltMGN,141,-0.197 ,-0.282 ,-0.018 ,-0.022 ,0.083 ,-0.101 ,0.058 ,0.118 ,0.034 ,0.105 ,0.180 ,0.232 ,-0.085 ,-0.763 ,-0.040 ,-0.016 ,0.295 
rtMGN,142,-0.124 ,-0.103 ,0.167 ,-0.126 ,-0.068 ,-0.076 ,-0.053 ,0.100 ,0.075 ,0.198 ,0.094 ,0.007 ,-0.334 ,-0.009 ,-0.274 ,-0.060 ,0.285 
ltPuA,143,-0.400 ,-0.188 ,-0.007 ,0.048 ,-0.096 ,0.127 ,0.339 ,-0.004 ,0.110 ,0.267 ,0.427 ,0.753 ,0.425 ,-0.035 ,0.070 ,0.414 ,1.079 
rtPuA,144,-0.370 ,-0.117 ,0.071 ,-0.030 ,-0.186 ,-0.048 ,0.316 ,0.061 ,0.186 ,0.340 ,0.657 ,0.647 ,0.096 ,0.199 ,-0.047 ,0.294 ,1.094 
ltPuM,145,-0.509 ,-0.209 ,0.049 ,0.020 ,-0.121 ,0.103 ,0.426 ,0.139 ,0.316 ,0.465 ,0.553 ,0.810 ,0.848 ,0.639 ,0.449 ,1.056 ,1.584 
rtPuM,146,-0.486 ,-0.170 ,-0.054 ,-0.056 ,-0.153 ,-0.037 ,0.460 ,0.128 ,0.516 ,0.658 ,0.632 ,0.919 ,0.400 ,0.612 ,0.120 ,1.246 ,1.629 
ltPuL,147,-0.457 ,-0.117 ,0.114 ,0.014 ,-0.128 ,0.060 ,0.405 ,0.191 ,0.327 ,0.580 ,0.428 ,0.697 ,0.735 ,0.464 ,0.506 ,1.004 ,1.498 
rtPuL,148,-0.439 ,-0.074 ,-0.074 ,-0.098 ,-0.149 ,-0.065 ,0.302 ,0.207 ,0.418 ,0.596 ,0.547 ,0.740 ,0.563 ,0.572 ,0.015 ,1.289 ,1.440 
ltPuI,149,-0.240 ,-0.078 ,0.131 ,-0.052 ,-0.197 ,-0.073 ,0.159 ,0.186 ,0.184 ,0.178 ,0.143 ,0.023 ,0.347 ,0.168 ,0.103 ,0.747 ,0.862 
rtPuI,150,-0.104 ,-0.122 ,-0.002 ,0.142 ,-0.034 ,-0.217 ,0.085 ,-0.109 ,0.089 ,0.060 ,0.241 ,-0.162 ,0.008 ,0.118 ,-0.256 ,0.240 ,0.368 
lACCsub,151,-0.009 ,0.321 ,0.571 ,0.534 ,0.610 ,0.753 ,0.694 ,0.680 ,0.886 ,0.686 ,0.685 ,0.745 ,1.212 ,1.044 ,1.086 ,0.991 ,1.432 
rACCsub,152,-0.044 ,0.367 ,0.361 ,0.384 ,0.491 ,0.629 ,0.403 ,0.522 ,0.608 ,0.508 ,0.440 ,0.488 ,0.848 ,0.696 ,0.715 ,0.437 ,1.155 
lACCpre,153,0.032 ,0.444 ,0.732 ,0.932 ,0.889 ,0.882 ,1.021 ,1.080 ,1.070 ,1.016 ,1.332 ,0.941 ,1.381 ,1.236 ,1.290 ,1.003 ,1.546 
rACCpre,154,-0.001 ,0.648 ,0.656 ,0.787 ,0.868 ,1.040 ,0.899 ,1.035 ,1.043 ,1.235 ,1.196 ,1.047 ,1.193 ,1.026 ,1.088 ,1.249 ,1.590 
lACCsup,155,0.001 ,0.364 ,0.509 ,0.815 ,0.691 ,0.755 ,0.953 ,0.955 ,0.936 ,0.782 ,0.815 ,0.910 ,1.055 ,1.260 ,0.978 ,1.136 ,1.355 
rACCsup,156,-0.085 ,0.416 ,0.267 ,0.532 ,0.500 ,0.619 ,0.626 ,0.799 ,0.603 ,0.553 ,0.676 ,0.629 ,0.621 ,0.857 ,0.525 ,0.802 ,0.957 
lNacc,157,-0.446 ,0.001 ,0.000 ,0.131 ,0.152 ,0.376 ,0.212 ,0.282 ,0.357 ,0.646 ,0.218 ,0.273 ,0.477 ,1.064 ,0.487 ,0.508 ,1.349 
rNacc,158,-0.489 ,-0.049 ,-0.134 ,0.088 ,0.199 ,0.203 ,0.287 ,0.291 ,0.437 ,0.515 ,0.086 ,0.209 ,0.373 ,0.805 ,0.517 ,0.538 ,1.321 
