Name,Id_Atlas,Stage0,Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stage8,Stage9,Stage10,Stage11,Stage12,Stage13,Stage14,Stage15,Stage16
rTPOmid,92,-0.214 ,0.053 ,0.155 ,0.461 ,0.249 ,0.056 ,0.699 ,0.323 ,0.700 ,0.703 ,0.221 ,0.821 ,1.000 ,0.615 ,0.740 ,0.459 ,1.174 
lITG,93,-0.389 ,0.033 ,0.222 ,0.418 ,0.130 ,0.447 ,0.692 ,0.724 ,0.914 ,0.592 ,0.352 ,0.921 ,0.838 ,1.090 ,0.998 ,0.985 ,1.664 
rITG,94,-0.328 ,0.018 ,0.237 ,0.392 ,0.451 ,0.439 ,0.625 ,0.789 ,0.976 ,0.937 ,0.414 ,0.927 ,1.018 ,1.246 ,1.298 ,0.936 ,1.849 
lCERCRU1,95,-0.112 ,0.212 ,0.368 ,0.202 ,0.201 ,0.221 ,0.224 ,0.153 ,0.304 ,0.010 ,0.561 ,0.515 ,0.210 ,0.205 ,0.225 ,0.379 ,0.823 
rCERCRU1,96,-0.110 ,0.141 ,0.237 ,0.106 ,0.060 ,0.041 ,0.257 ,0.090 ,0.195 ,-0.082 ,0.471 ,0.216 ,0.124 ,0.332 ,-0.050 ,0.298 ,0.775 
lCERCRU2,97,-0.011 ,0.259 ,0.259 ,0.221 ,0.254 ,0.243 ,0.081 ,0.155 ,0.414 ,0.138 ,0.561 ,0.121 ,0.203 ,0.665 ,0.346 ,0.252 ,0.756 
rCERCRU2,98,-0.012 ,0.174 ,0.295 ,0.286 ,0.201 ,0.051 ,0.103 ,0.267 ,0.203 ,0.053 ,0.569 ,0.274 ,0.113 ,0.563 ,0.434 ,0.286 ,0.644 
lCER3,99,-0.081 ,0.334 ,0.057 ,0.229 ,0.264 ,0.120 ,0.101 ,0.327 ,0.207 ,0.395 ,0.346 ,0.206 ,0.769 ,0.620 ,0.287 ,0.746 ,0.668 
rCER3,100,-0.107 ,0.192 ,0.165 ,0.205 ,0.143 ,0.227 ,0.153 ,0.333 ,-0.099 ,0.382 ,0.627 ,0.206 ,0.668 ,0.610 ,0.154 ,0.960 ,0.502 
lCER4_5,101,-0.173 ,0.149 ,0.140 ,0.166 ,0.115 ,0.266 ,0.407 ,0.229 ,0.418 ,0.294 ,0.563 ,0.197 ,0.614 ,0.524 ,0.267 ,0.727 ,0.701 
rCER4_5,102,-0.219 ,0.185 ,0.185 ,0.300 ,0.196 ,0.270 ,0.326 ,0.065 ,0.382 ,0.320 ,0.523 ,0.327 ,0.521 ,0.472 ,0.291 ,0.784 ,0.653 
lCER6,103,-0.166 ,0.154 ,0.252 ,0.387 ,0.111 ,0.324 ,0.372 ,0.248 ,0.401 ,0.292 ,0.686 ,0.306 ,0.287 ,0.483 ,0.402 ,0.728 ,0.838 
rCER6,104,-0.233 ,0.139 ,0.208 ,0.330 ,0.123 ,0.189 ,0.376 ,0.014 ,0.706 ,0.116 ,0.596 ,0.189 ,0.393 ,0.543 ,0.345 ,0.808 ,0.946 
lCER7b,105,-0.015 ,0.281 ,0.318 ,0.537 ,0.340 ,0.223 ,0.152 ,0.386 ,0.388 ,0.249 ,0.747 ,0.051 ,0.198 ,0.737 ,0.321 ,0.751 ,0.991 
rCER7b,106,-0.016 ,0.218 ,0.295 ,0.423 ,0.318 ,0.092 ,0.201 ,0.382 ,0.223 ,-0.018 ,0.660 ,0.474 ,0.054 ,0.703 ,0.522 ,0.586 ,0.695 
lCER8,107,-0.023 ,0.234 ,0.318 ,0.511 ,0.311 ,0.017 ,0.231 ,0.374 ,0.459 ,0.342 ,0.844 ,0.363 ,0.369 ,0.442 ,0.473 ,0.788 ,0.933 
rCER8,108,-0.036 ,0.250 ,0.295 ,0.307 ,0.268 ,0.219 ,0.186 ,0.180 ,0.562 ,0.208 ,0.747 ,0.316 ,0.258 ,0.586 ,0.463 ,0.509 ,0.881 
lCER9,109,-0.042 ,0.228 ,0.187 ,0.151 ,0.070 ,0.065 ,0.289 ,0.461 ,0.145 ,0.224 ,0.547 ,0.467 ,0.544 ,0.147 ,0.077 ,0.557 ,0.701 
rCER9,110,0.032 ,0.189 ,0.122 ,0.252 ,0.161 ,0.137 ,0.202 ,0.411 ,0.301 ,0.320 ,0.401 ,0.238 ,0.406 ,0.117 ,0.119 ,0.618 ,0.643 
lCER10,111,-0.014 ,0.136 ,-0.019 ,0.192 ,0.168 ,0.326 ,0.189 ,0.377 ,0.197 ,0.460 ,0.520 ,0.553 ,0.235 ,0.194 ,0.295 ,0.476 ,0.553 
rCER10,112,-0.011 ,0.128 ,0.185 ,0.163 ,0.318 ,0.450 ,0.370 ,0.170 ,0.464 ,0.312 ,0.592 ,0.514 ,0.260 ,0.144 ,-0.028 ,0.192 ,0.469 
VER1_2,113,-0.124 ,0.223 ,0.108 ,0.105 ,0.026 ,0.171 ,-0.060 ,-0.110 ,-0.273 ,0.100 ,0.178 ,0.365 ,0.001 ,0.331 ,0.258 ,0.224 ,0.304 
VER3,114,-0.111 ,0.203 ,0.135 ,0.182 ,0.155 ,0.131 ,0.190 ,0.064 ,0.209 ,0.055 ,0.455 ,0.150 ,0.083 ,0.692 ,0.268 ,0.478 ,0.399 
VER4_5,115,-0.056 ,0.016 ,0.134 ,0.129 ,-0.040 ,0.044 ,0.152 ,-0.002 ,0.035 ,0.210 ,0.703 ,-0.030 ,0.212 ,0.182 ,-0.037 ,0.325 ,0.333 
VER6,116,-0.103 ,0.149 ,0.211 ,0.415 ,-0.132 ,0.076 ,0.327 ,-0.113 ,0.227 ,0.118 ,0.386 ,0.150 ,-0.208 ,0.383 ,0.452 ,0.450 ,0.377 
VER7,117,-0.031 ,0.077 ,0.146 ,0.088 ,0.109 ,0.073 ,0.063 ,0.146 ,0.056 ,-0.175 ,0.174 ,0.269 ,0.190 ,0.527 ,0.271 ,0.262 ,0.504 
VER8,118,0.006 ,0.078 ,0.167 ,0.193 ,0.055 ,0.042 ,-0.093 ,0.445 ,0.042 ,0.262 ,0.598 ,0.426 ,-0.089 ,0.451 ,0.345 ,0.410 ,0.628 
VER9,119,-0.062 ,0.121 ,0.184 ,0.117 ,0.031 ,-0.071 ,0.174 ,0.501 ,0.255 ,0.218 ,0.496 ,0.159 ,0.521 ,0.078 ,0.215 ,0.400 ,0.668 
VER10,120,-0.114 ,0.136 ,0.054 ,0.148 ,-0.004 ,-0.026 ,-0.024 ,0.093 ,-0.197 ,-0.098 ,0.405 ,0.116 ,0.385 ,0.166 ,0.275 ,0.454 ,0.570 
ltAV,121,0.094 ,0.206 ,0.438 ,0.450 ,0.297 ,0.450 ,0.384 ,0.302 ,0.425 ,0.490 ,0.560 ,0.390 ,0.649 ,0.572 ,0.690 ,0.552 ,0.681 
rtAV,122,0.058 ,0.272 ,0.537 ,0.334 ,0.191 ,0.678 ,0.551 ,0.706 ,0.916 ,0.659 ,0.558 ,0.540 ,0.251 ,0.540 ,0.936 ,0.834 ,0.643 
ltLP,123,-0.027 ,0.466 ,0.489 ,0.519 ,0.432 ,0.540 ,0.716 ,0.569 ,1.120 ,0.602 ,0.804 ,0.622 ,0.661 ,0.344 ,0.826 ,0.930 ,0.782 
rtLP,124,0.098 ,0.484 ,0.606 ,0.672 ,0.343 ,0.681 ,0.866 ,0.621 ,1.260 ,0.828 ,0.916 ,0.634 ,0.574 ,0.511 ,0.934 ,0.928 ,0.859 
ltVA,125,-0.079 ,0.301 ,0.431 ,0.429 ,0.256 ,0.165 ,0.468 ,0.923 ,0.075 ,0.288 ,0.489 ,-0.052 ,0.240 ,0.303 ,0.982 ,0.543 ,0.556 
rtVA,126,-0.033 ,0.188 ,0.276 ,0.241 ,0.252 ,0.413 ,0.487 ,0.623 ,0.326 ,-0.024 ,0.204 ,0.126 ,0.258 ,0.601 ,0.870 ,0.577 ,0.528 
ltVL,127,0.014 ,0.542 ,0.540 ,0.708 ,0.492 ,0.410 ,0.562 ,0.771 ,1.146 ,0.496 ,0.815 ,0.293 ,0.630 ,0.607 ,1.097 ,0.742 ,0.989 
